Referencia;Descricao do Produto;Fabricante;Grupo;Qtde;Un;Custo Un;Custo;Total;
ONJ0160        ;ESCULTURA PAREDE A6755 60X110CM                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;184,95;554,85;2909,7;
ONJ0162        ;ESCULTURA PAREDE AH2321 70X150CM                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;294,55;294,55;1689,9;
ONJ0165        ;ESCULTURA PAREDE A820 59,5X118CM                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;164,4;493,2;2909,7;
ONJ0413        ;VASO  DECOR 28CM                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;106,86;106,86;589,9;
ONJ0342P       ;CACHEPOT DECOR PISO P                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;37,65;75,3;579,8;
ONJ0328M       ;CACHEPOT DECOR PISO M                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;105,49;210,98;1259,8;
ONJ0328P       ;CACHEPOT DECOR PISO P                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;52,75;52,75;398,9;
ONJ0175M       ;BAU DECORATIVO P                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;20,55;82,2;759,6;
ONJ0194M       ;CAIXA LIVRO DECORATIVO M                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;21,92;197,28;1709,1;
ONJ0194P       ;CAIXA LIVRO DECORATIVO P                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;10,96;21,92;279,8;
ONJ0177M       ;BAU DECORATIVO M                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;9,13;9,13;79,9;
ONJ0177P       ;BAU DECORATIVO P                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;4,56;13,68;179,7;
ONJ0176P       ;MALA DECORATIVA P                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;34,25;34,25;298,9;
ONJ0190M       ;CAIXA LIVRO DECORATIVO M                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;34,25;68,5;579,8;
ONJ0190P       ;CAIXA LIVRO DECORATIVO P                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;34,25;34,25;189,9;
ONJ0191P       ;MALA DECORATIVO P                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;36,99;36,99;329,9;
ONJ0189P       ;MALA DECORATIVO P                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;50,2;100,4;1079,8;
ONJ0187M       ;CAIXA LIVRO DECORATIVO M                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;31,05;62,1;479,8;
ONJ0187P       ;CAIXA LIVRO DECORATIVO P                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;4;UN ;15,52;62,08;759,6;
ONJ0179M       ;BAU DECORATIVO M                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;23,37;23,37;169,9;
ONJ0179P       ;BAU DECORATIVO P                                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;11,08;22,16;239,8;
ONJ02          ;BAMBUSA G ON                                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;25,8;25,8;169,9;
