Referencia;Descricao do Produto;Fabricante;Grupo;Qtde;Un;Custo Un;Custo;Total;
ONJ0120        ;HASTE GIPSOFILA                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;343;UN ;2,56;878,08;3395,7;
ONJ0121        ;BQT PENDENTE FOLHAS OREGANO                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;158;UN ;7,48;1181,84;4724,2;
ONJ0122        ;BQT. PENDENTE FOLHAS MINI                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;65;UN ;3,15;204,75;838,5;
ONJ0123        ;BQT PENDENTE FOLHAS EUCALIPTUS MINI                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;440;UN ;3,15;1386;5676;
ONJ0124        ;BQT PENDENTE FOLHAS MINI                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;306;UN ;3,54;1083,24;5171,4;
ONJ0125        ;BQT PENDENTE FOLHINHAS DE ALECRIM                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;161;UN ;6,89;1109,29;6423,9;
ONJ0136        ;FOLHA DE ORQUIDEA PHALAENOPSIS X5 26CM                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;218;UN ;4,13;900,34;3466,2;
ONJ0137MX      ;ORQUIDEA PHALAENOPSIS HASTE 72CM COLOR                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;60;UN ;5,71;342,6;1734;
ONJ0137        ;ORQUIDEA PHALAENOPSIS HASTE 72CM BR                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;85;UN ;5,71;485,35;2246,5;
ONJ0138        ;HASTE FOLHA COSTELA DE ADAO                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;48;UN ;4,92;236,16;955,2;
ONJ0139        ;HASTE PRIMULAS X3 FOLHAS 76CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;128;UN ;3,94;504,32;1651,2;
ONJ0140MX      ;HASTE ROSA 50CM                                             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;72;UN ;2,17;156,24;640,8;
ONJ0141MX      ;HASTER ORQUIDEAS CHUVA DE OURO 70CM                         ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;152;UN ;6,1;927,2;4544,8;
